rank,scaler,class_weight,c_value,threshold,accuracy,precision_archeologique,recall_archeologique,f1_archeologique,fold_f1_mean,fold_f1_std,false_negatives,false_positives,true_positives,true_negatives
354,robust,none,10.0,0.65,0.7636986301369864,0.7402597402597403,0.5377358490566038,0.6229508196721312,0.584030044030044,0.2869002062785679,49,20,57,166
355,normalizer,balanced,10.0,0.6,0.773972602739726,0.7941176470588235,0.5094339622641509,0.6206896551724138,0.5431305731305731,0.3242413475299755,52,14,54,172
356,normalizer,none,10.0,0.5,0.773972602739726,0.7941176470588235,0.5094339622641509,0.6206896551724138,0.5452673252673252,0.32173953160817914,52,14,54,172
357,none,balanced,0.01,0.6,0.773972602739726,0.7941176470588235,0.5094339622641509,0.6206896551724138,0.5425750175750176,0.3259451654040879,52,14,54,172
358,robust,balanced,1.0,0.7,0.7636986301369864,0.7466666666666667,0.5283018867924528,0.6187845303867403,0.5791238391238391,0.28968823944240923,50,19,56,167
359,robust,none,0.3,0.6,0.7636986301369864,0.7466666666666667,0.5283018867924528,0.6187845303867403,0.5791238391238391,0.28968823944240923,50,19,56,167
360,robust,none,0.1,0.6,0.7671232876712328,0.7638888888888888,0.5188679245283019,0.6179775280898876,0.5746793946793946,0.28528216695462366,51,17,55,169
361,robust,balanced,0.01,0.65,0.773972602739726,0.803030303030303,0.5,0.6162790697674418,0.5564063490688879,0.33079313157606527,53,13,53,173
362,robust,none,0.03,0.6,0.773972602739726,0.803030303030303,0.5,0.6162790697674418,0.5530485957111345,0.3228186107887054,53,13,53,173
363,normalizer,none,1.0,0.4,0.7397260273972602,0.6630434782608695,0.5754716981132075,0.6161616161616161,0.5533047235988413,0.28064368148415997,45,31,61,155
364,robust,balanced,0.3,0.65,0.7602739726027398,0.7368421052631579,0.5283018867924528,0.6153846153846154,0.5791238391238391,0.28968823944240923,50,20,56,166
365,robust,balanced,1.0,0.65,0.7602739726027398,0.7368421052631579,0.5283018867924528,0.6153846153846154,0.5791238391238391,0.28968823944240923,50,20,56,166
